Temp,Humd,Label
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,37,1
23,38,1
24,69,1
24,69,1
25,68,1
25,67,1
25,65,1
25,64,1
25,61,1
25,60,1
25,57,1
25,56,1
25,53,1
25,52,1
25,50,1
25,50,1
25,50,1
25,52,1
25,56,1
25,60,1
26,64,1
26,65,1
27,67,1
27,68,1
28,68,1
28,69,1
28,68,1
29,66,1
29,58,1
29,57,1
30,51,1
30,49,1
30,46,1
30,45,1
30,42,1
30,41,1
30,40,1
30,39,1
29,37,1
29,36,1
29,35,1
29,35,1
29,34,1
29,33,1
29,33,1
28,32,1
28,32,1
28,31,1
28,31,1
28,31,1
28,31,1
28,30,1
28,30,1
28,30,1
28,30,1
27,31,1
27,31,1
27,30,1
27,30,1
27,30,1
27,30,1
27,30,1
27,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
25,30,1
25,30,1
25,30,1
25,31,1
25,33,1
27,79,1
28,81,1
28,82,1
29,81,1
29,81,1
29,81,1
29,81,1
30,81,1
31,81,1
31,82,1
31,79,1
31,79,1
31,78,1
31,79,1
32,82,1
32,87,1
32,87,1
32,87,1
33,85,1
33,85,1
33,83,1
33,83,1
33,82,1
33,83,1
33,85,1
33,88,1
33,87,1
33,87,1
33,86,1
33,86,1
33,83,1
32,83,1
33,82,1
33,81,1
33,81,1
33,80,1
33,80,1
33,80,1
33,80,1
33,79,1
33,79,1
33,78,1
33,78,1
33,78,1
60,67,1
16,171,1
33,86,1
33,88,1
33,88,1
33,88,1
33,88,1
33,88,1
33,88,1
33,87,1
33,87,1
33,86,1
33,86,1
33,85,1
33,83,1
33,78,1
33,77,1
33,71,1
33,70,1
33,64,1
33,61,1
32,54,1
32,52,1
32,49,1
32,47,1
31,43,1
31,42,1
31,41,1
31,40,1
30,34,1
30,34,1
29,33,1
29,33,1
29,32,1
29,32,1
29,31,1
28,31,1
28,31,1
28,32,1
26,51,1
26,50,1
26,47,1
26,47,1
26,44,1
26,44,1
25,42,1
25,42,1
25,40,1
25,39,1
25,39,1
,,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
23,34,1
23,34,1
23,34,1
23,34,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,33,1
23,39,1
23,42,1
24,48,1
24,52,1
24,59,1
24,61,1
25,66,1
25,68,1
26,70,1
26,71,1
27,73,1
27,73,1
28,72,1
28,73,1
28,72,1
29,73,1
29,76,1
29,76,1
29,73,1
30,71,1
29,72,1
29,62,1
29,60,1
28,55,1
28,53,1
27,50,1
27,50,1
27,48,1
26,48,1
26,46,1
25,46,1
25,44,1
25,44,1
24,43,1
24,43.024,1
24,42,1
24,41,1
24,41,1
24,40,1
24,40,1
24,39,1
24,39,1
24,39,1
24,39,1
24,38,1
24,38,1
23,38,1
23,38,1
23,39,1
23,41,1
24,47,1
24,50,1
24,58,1
24,61,1
25,67,1
25,69,1
26,71,1
26,72,1
27,73,1
27,75,1
28,76,1
28,76,1
28,77,1
28,79,1
29,79,1
29,79,1
29,79,1
29,78,1
30,78,1
30,77,1
30,75,1
30,75,1
30,75,1
30,76,1
31,77,1
31,77,1
31,77,1
31,78,1
31,77,1
31,77,1
31,75,1
31,75,1
31,75,1
31,76,1
32,77,1
32,77,1
32,76,1
32,76,1
32,78,1
32,79,1
32,80,1
32,81,1
32,79,1
32,77,1
32,71,1
32,68,1
32,61,1
32,58,1
32,49,1
32,47,1
32,44,1
32,43,1
31,41,1
31,40,1
31,38,1
31,37,1
31,39,1
31,45,1
31,47,1
31,54,1
31,53,1
31,52,1
31,52,1
30,51,1
30,50,1
30,48,1
30,48,1
29,49,1
29,49,1
29,51,1
29,56,1
28,56,1
28,56,1
28,57,1
28,57,1
28,58,1
28,58,1
28,59,1
28,60,1
28,61,1
28,62,1
28,63,1
28,63,1
28,64,1
28,65,1
28,67,1
28,68,1
28,69,1
28,70,1
28,70,1
28,70,1
28,71,1
28,72,1
28,72,1
28,72,1
28,72,1
28,73,1
28,73,1
28,75,1
28,75,1
28,76,1
28,75,1
28,74,1
28,74,1
28,74,1
28,75,1
28,75,1
28,75,1
28,76,1
28,76,1
28,76,1
28,76,1
28,76,1
28,76,1
28,76,1
28,77,1
28,75,1
28,69,1
28,68,1
28,62,1
28,60,1
27,57,1
27,56,1
27,52,1
27,51,1
27,49,1
27,48,1
27,46,1
27,45,1
27,44,1
27,44,1
26,42,1
26,42,1
26,41,1
26,40,1
26,39,1
26,39,1
26,39,1
26,39,1
26,38,1
26,38,1
26,37,1
26,38,1
26,43,1
26,44,1
26,49,1
26,50,1
26,54,1
26,56,1
26,59,1
26,60,1
26,63,1
26,64,1
26,66,1
27,69,1
27,70,1
27,71,1
27,71,1
27,72,1
27,72,1
27,73,1
27,73,1
27,73,1
27,74,1
27,74,1
27,74,1
27,69,1
27,67,1
27,63,1
27,62,1
27,55,1
27,54,1
27,50,1
27,49,1
26,47,1
26,47,1
26,45,1
26,44,1
26,43,1
26,43,1
26,41,1
26,41,1
26,40,1
26,40,1
26,39,1
26,39,1
25,38,1
25,38,1
25,38,1
25,38,1
25,37,1
25,37,1
25,36,1
25,36,1
25,37,1
25,39,1
25,44,1
25,45,1
25,49,1
25,51,1
26,57,1
26,58,1
26,60,1
26,61,1
26,63,1
26,64,1
26,66,1
27,67,1
27,69,1
27,69,1
27,69,1
27,70,1
27,71,1
27,71,1
27,72,1
27,72,1
27,72,1
27,73,1
27,73,1
27,73,1
27,73,1
28,72,1
28,73,1
28,73,1
28,74,1
28,74,1
28,75,1
28,75,1
28,74,1
28,73,1
28,69,1
28,68,1
28,62,1
28,64,1
28,66,1
28,67,1
28,69,1
28,70,1
28,72,1
28,73,1
28,76,1
28,77,1
29,79,1
29,80,1
29,81,1
29,82,1
30,82,1
30,82,1
30,83,1
30,83,1
31,83,1
31,83,1
31,84,1
31,84,1
31,85,1
31,86,1
32,86,1
32,87,1
32,87,1
32,87,1
32,86,1
32,87,1
32,87,1
32,87,1
32,87,1
32,87,1
32,87,1
32,87,1
32,87,1
33,86,1
33,86,1
33,87,1
33,87,1
33,87,1
33,87,1
33,86,1
33,85,1
33,85,1
33,82,1
33,82,1
33,81,1
33,80,1
33,74,1
33,72,1
33,66,1
33,64,1
32,54,1
32,52,1
32,47,1
32,46,1
32,43,1
32,42,1
31,41,1
31,40,1
31,38,1
31,37,1
31,36,1
31,36,1
30,35,1
30,34,1
30,33,1
30,33,1
30,32,1
30,32,1
29,33,1
29,32,1
29,32,1
29,32,1
29,32,1
29,31,1
28,31,1
28,31,1
28,30,1
28,30,1
28,30,1
28,30,1
28,30,1
28,29,1
28,29,1
28,29,1
28,29,1
27,30,1
27,30,1
27,30,1
27,30,1
27,30,1
27,30,1
27,30,1
27,30,1
27,30,1
27,30,1
27,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
26,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
25,30,1
24,30,1
24,30,1
24,30,1
24,30,1
24,30,1
24,30.024,1
24,30,1
24,30.024,1
24,30.024,1
24,30,1
24,30,1
24,30,1
24,30,1
24,30,1
24,31,1
24,31,1
24,31,1
24,31,1
24,31,1
24,31,1
24,31,1
23,31,1
23,31,1
23,31,1
23,31,1
23,31,1
22,34,1
22,34,1
22,34,1
22,34,1
22,34,1
22,34,1
,,1
24,60,1
24,50,1
24,50,1
24,47,1
24,48,1
24,48,1
24,52,1
24,52,1
24,53,1
24,57,1
24,58,1
25,59,1
25,61,1
25,62,1
25,62,1
25,46,1
25,45,1
25,45,1
24,42,1
24,42,1
24,42,1
24,40,1
24,40,1
24,40,1
24,39,1
24,39,1
24,39,1
24,38,1
24,38,1
24,38,1
24,39,1
24,40,1
24,41,1
24,45,1
24,46,1
24,47,1
24,51,1
24,52,1
24,53,1
24,57,1
24,58,1
25,58,1
25,53,1
25,53,1
25,52,1
25,48,1
25,48,1
25,47,1
25,44,1
25,44,1
25,44,1
24,42,1
24,42,1
24,42,1
24,40,1
24,40,1
24,39,1
22,34,1
22,34,1
22,34,1
22,34,1
22,34,1
22,34,1
,,1
24,60,1
24,50,1
24,50,1
24,47,1
24,48,1
24,48,1
24,52,1
24,52,1
24,53,1
24,57,1
24,58,1
25,59,1
25,61,1
25,62,1
25,62,1
25,46,1
25,45,1
25,45,1
24,42,1
24,42,1
24,42,1
24,40,1
24,40,1
24,40,1
24,39,1
24,39,1
24,39,1
24,38,1
24,38,1
24,38,1
24,39,1
24,40,1
24,41,1
24,45,1
24,46,1
24,47,1
24,51,1
24,52,1
24,53,1
24,57,1
24,58,1
25,58,1
25,53,1
25,53,1
25,52,1
25,48,1
25,48,1
25,47,1
25,44,1
25,44,1
25,44,1
24,42,1
24,42,1
24,42,1
24,40,1
24,40,1
24,39,1
24,39,1
24,39,1
24,38,1
24,38,1
24,38,1
24,38,1
,,1
26,63,1
26,64,1
26,64,1
,,1
26,62,1
26,62,1
26,62,1
26,61,1
26,61,1
26,61,1
26,62,1
26,62,1
,,1
24,47,1
24,46,1
24,46,1
24,45,1
24,45,1
24,44,1
24,44,1
24,44,1
24,44,1
24,44,1
24,43,1
24,43,1
24,42,1
24,42,1
24,42,1
24,41,1
24,41,1
24,41,1
24,41,1
24,41,1
24,40,1
24,40,1
24,40,1
24,40,1
24,39,1
24,39,1
24,39,1
24,39,1
24,39,1
24,39,1
24,39,1
24,39,1
24,39,1
24,39,1
24,39,1
24,38,1
24,38,1
24,38,1
24,38,1
24,38,1
24,38,1
24,38,1
24,38,1
24,38,1
24,38,1
24,39,1
24,39,1
24,41,1
24,42,1
24,42,1
24,43,1
24,44,1
24,44,1
24,45,1
24,46,1
24,47,1
24,48,1
25,51,1
25,52,1
25,53,1
25,53,1
25,54,1
25,54,1
25,55,1
25,55,1
25,56,1
25,56,1
25,57,1
25,57,1
26,58,1
26,58,1
26,59,1
26,59,1
26,59,1
26,59,1
26,60,1
26,60,1
26,61,1
26,61,1
26,62,1
26,62,1
26,63,1
26,63,1
26,63,1
26,63,1
26,64,1
27,64,1
27,64,1
27,64,1
27,65,1
27,65,1
27,65,1
27,65,1
27,66,1
27,66,1
27,66,1
27,66,1
27,67,1
27,67,1
27,67,1
27,68,1
27,68,1
27,68,1
27,68,1
27,68,1
27,68,1
27,68,1
27,69,1
27,69,1
27,69,1
27,69,1
27,69,1
27,69,1
27,69,1
27,69,1
27,69,1
27,69,1
28,68,1
28,68,1
28,63,1
28,62,1
28,61,1
27,57,1
27,53,1
27,52,1
27,51,1
27,50,1
27,49,1
27,49,1
27,48,1
27,48,1
27,47,1
27,47,1
27,46,1
27,46,1
27,45,1
27,45,1
27,44,1
27,44,1
27,44,1
27,43,1
27,43,1
27,43,1
27,42,1
27,42,1
27,42,1
27,41,1
27,41,1
27,40,1
27,40,1
27,40,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,38,1
26,38,1
26,38,1
26,38,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
26,36,1
26,36,1
26,36,1
26,36,1
26,36,1
26,35,1
26,35,1
26,36,1
26,38,1
26,42,1
26,44,1
26,44,1
26,46,1
26,47,1
26,48,1
26,49,1
26,49,1
26,50,1
26,51,1
26,52,1
26,53,1
26,54,1
26,54,1
26,55,1
26,56,1
26,57,1
26,57,1
26,58,1
26,59,1
26,59,1
26,60,1
26,60,1
26,61,1
26,61,1
26,62,1
26,62,1
26,63,1
26,63,1
26,64,1
26,64,1
26,65,1
26,66,1
26,67,1
26,68,1
26,69.026,1
26,69,1
26,69,1
26,70,1
26,71,1
26,71,1
26,71,1
26,71,1
26,72,1
26,72,1
26,72,1
26,72,1
26,72,1
26,71,1
26,70,1
26,69,1
26,64,1
26,63,1
26,61,1
26,60,1
26,59,1
26,58,1
26,57,1
26,56,1
26,55,1
26,54,1
26,53,1
26,52,1
26,51,1
26,51,1
26,50,1
26,49,1
26,49,1
26,48,1
26,47,1
26,46,1
26,46,1
26,45,1
26,45,1
26,44,1
26,44,1
26,44,1
26,44,1
26,43,1
26,43,1
26,43,1
26,43,1
26,42,1
26,42,1
26,42,1
26,42,1
26,41,1
25,40,1
25,40,1
25,40,1
25,39,1
25,39,1
25,39,1
25,39,1
25,39,1
25,39,1
25,39,1
25,39,1
25,39,1
25,38,1
25,38,1
25,38,1
25,38,1
25,38,1
25,38,1
25,38,1
25,38,1
25,38,1
25,37,1
25,37,1
25,37,1
25,37,1
25,37,1
25,37,1
25,37,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,35,1
25,35,1
25,35,1
25,35,1
25,35,1
25,35,1
870,901,0
607,917,0
996,707,0
520,131,0
994,492,0
633,610,0
881,911,0
141,211,0
677,204,0
796,132,0
185,329,0
790,455,0
325,432,0
568,225,0
132,513,0
222,128,0
149,581,0
698,693,0
760,233,0
176,526,0
197,850,0
977,851,0
640,595,0
940,611,0
292,717,0
887,871,0
442,301,0
464,868,0
362,274,0
137,245,0
657,874,0
413,538,0
172,922,0
701,509,0
916,616,0
815,967,0
803,668,0
852,195,0
299,516,0
620,348,0
600,721,0
935,396,0
756,552,0
464,312,0
620,656,0
299,159,0
795,527,0
133,508,0
942,735,0
583,661,0
993,116,0
464,769,0
972,877,0
912,566,0
933,605,0
321,896,0
640,938,0
415,691,0
750,648,0
597,428,0
274,123,0
339,288,0
370,571,0
923,230,0
177,984,0
503,897,0
958,538,0
958,382,0
802,577,0
317,139,0
638,758,0
168,992,0
587,965,0
417,543,0
434,298,0
241,629,0
513,609,0
159,384,0
376,792,0
644,513,0
276,932,0
914,539,0
200,835,0
238,545,0
289,264,0
984,393,0
216,805,0
738,758,0
296,835,0
580,593,0
338,588,0
724,928,0
296,829,0
753,937,0
185,750,0
